2,2000-02-24T00:00:43,95.3,1
10,2000-06-02T00:18:36,99.8,1
14,2000-05-04T02:21:47,95.44,1
24,2000-07-11T01:04:55,96.93,1
27,2000-06-29T04:41:33,91.72,1
45,2000-10-04T06:01:08,94.72,1
47,2000-11-10T16:59:59,96.93,1
69,2000-01-26T15:48:51,95.63,1
70,2000-07-27T12:10:52,98.67,1
74,2000-04-23T01:54:04,97.33,1
87,2000-08-06T13:17:51,98.13,1
106,2000-05-02T03:16:36,98.98,1
112,2000-08-16T23:10:45,92.5,1
113,2000-09-28T09:44:18,94.23,1
127,2000-04-15T15:24:45,93.64,1
131,2000-06-28T22:47:36,94.68,1
140,2000-06-25T14:39:33,96.86,1
148,2000-01-20T00:27:01,98.39,1
153,2000-08-21T15:27:25,97.32,1
156,2000-08-02T18:30:56,99.98,1
177,2000-05-30T23:47:01,91.98,1
181,2000-02-05T12:23:19,97.89,1
194,2000-03-28T03:06:40,93.69,1
201,2000-01-07T19:30:56,99.84,1
216,2000-09-11T23:05:04,93.9,1
218,2000-02-09T02:04:55,99.14,1
220,2000-02-13T23:23:18,98.49,1
227,2000-06-16T01:05:28,96.28,1
239,2000-09-21T16:18:15,98.04,1
245,2000-02-02T00:28:24,97.55,1
253,2000-11-29T07:32:23,91.48,1
255,2000-08-24T08:51:11,94.59,1
259,2000-12-30T12:29:10,90.94,1
265,2000-06-29T00:25:36,96.79,1
270,2000-06-16T20:04:25,91.04,1
280,2000-04-07T10:46:16,98.64,1
290,2000-10-24T01:18:19,91.66,1
291,2000-02-21T20:04:49,95.97,1
292,2000-05-16T00:46:48,98.39,1
295,2000-07-14T18:42:48,97.25,1
297,2000-12-27T20:27:55,90.51,1
301,2000-09-05T04:48:49,99.23,1
305,2000-04-04T02:44:39,97.32,1
316,2000-09-03T14:29:15,99.77,1
320,2000-01-22T04:36:48,98.38,1
328,2000-08-31T07:44:55,97.62,1
332,2000-05-20T04:32:23,90.8,1
334,2000-12-02T08:04:21,95.51,1
345,2000-10-14T12:27:41,90.76,1
385,2000-06-15T03:03:50,99.72,1
412,2000-06-05T01:08:46,99.54,1
440,2000-08-26T08:35:03,93.7,1
445,2000-08-13T08:48:02,95.85,1
448,2000-06-04T09:36:04,91.5,1
450,2000-10-29T17:24:19,91.26,1
452,2000-12-17T11:27:17,90.14,1
458,2000-11-08T19:17:41,93.72,1
468,2000-06-20T02:53:55,91.44,1
480,2000-07-12T15:32:57,96.78,1
485,2000-05-28T15:28:31,93.58,1
500,2000-02-07T17:20:13,97.13,1
512,2000-03-22T02:17,93.54,1
515,2000-09-29T20:10:52,92.45,1
525,2000-05-23T09:54:28,94.66,1
526,2000-07-21T11:14:47,93.32,1
530,2000-10-26T05:45:59,97.17,1
556,2000-11-17T16:41:30,95.42,1
568,2000-08-24T09:47:17,99.63,1
570,2000-11-28T02:53:35,93.32,1
589,2000-02-09T08:58:18,95.69,1
608,2000-04-24T02:23:47,94.92,1
615,2000-10-31T10:20:57,94.99,1
626,2000-09-21T13:31:51,93.7,1
632,2000-06-12T06:02:58,95.21,1
634,2000-12-08T18:19:15,97.7,1
636,2000-11-04T13:06:50,99.62,1
654,2000-08-17T15:45:06,90.74,1
666,2000-10-16T04:10:51,96.54,1
671,2000-03-19T21:44:16,91.9,1
672,2000-12-11T13:57:10,97.65,1
